Address Offset,Name,Value,Type,Size,Scale Factor,Units,Mandatory (M),Label,Sol-Ark Register ID,Sol-Ark Register Desc,Notes
,DERMeasureAC,,group,,,,,DER AC Measurement,,,
0,ID,701,uint16,,,,M,Model ID,,,
1,L,153,uint16,,,,M,Model Length,,,
Wiring Type,,,,,,,,,,,
2,ACType,,enum16,,,,M,AC Wiring Type,184,Grid Type,"0x0000: Three Phase (default value)
0x0001: Single Phase
0x0002: Split Phase"
,SINGLE_PHASE,0,,,,,,Single Phase,,if 0x0001,
,SPLIT_PHASE,1,,,,,,Split Phase,,if 0x0002,
,THREE_PHASE,2,,,,,,Three Phase,,if 0x0000,
Operating State,,,,,,,,,,,
3,St,,enum16,,,,,Operating State,551,Power Button Status,"The lower 4 bits represent the switch signal
0x0000: Power off
0x0001: Power on"
,OFF,0,,,,,,Off,,if 0x0000,
,ON,1,,,,,,On,,if 0x0001,
Inverter State,,,,,,,,,,,
4,InvSt,,enum16,,,,,Inverter State,500,Operation Status,"0: Standby
1: Self-test
2: Normal
3: Alarm
4: Fault
5: Activating"
,OFF,0,,,,,,,,,
,SLEEPING,1,,,,,,,,,
,STARTING,2,,,,,,,,,
,RUNNING,3,,,,,,,,,
,THROTTLED,4,,,,,,,,,
,SHUTTING_DOWN,5,,,,,,,,,
,FAULT,6,,,,,,,,,
,STANDBY,7,,,,,,,,,
Grid Connection State,,,,,,,,,,,
5,ConnSt,,enum16,,,,,Grid Connection State,552,AC Relay Status,"(0: off 1: on)
Bit 0: INV relay
Bit 1: Load relay 
Bit 2: Grid relay
Bit 3: Generator relay
Bit 8: Gen two-wire start relay 
"
,DISCONNECTED,0,,,,,,Disconnected,,if Bit 2 = 0,
,CONNECTED,1,,,,,,Connected,,if Bit 2 = 1,
Alarms,,,,,,,,,,,
6,Alrm,,bitfield32,,,,,Alarm Bitfield,,,
,GROUND_FAULT,0,,,,,,Ground Fault,,,
,DC_OVER_VOLT,1,,,,,,DC Over Voltage,,,
,AC_DISCONNECT,2,,,,,,AC Disconnect Open,,,
,DC_DISCONNECT,3,,,,,,DC Disconnect Open,,,
,GRID_DISCONNECT,4,,,,,,Grid Disconnect,,,
,CABINET_OPEN,5,,,,,,Cabinet Open,,,
,MANUAL_SHUTDOWN,6,,,,,,Manual Shutdown,,,
,OVER_TEMP,7,,,,,,Over Temperature,,,
,OVER_FREQUENCY,8,,,,,,Frequency Above Limit,,,
,UNDER_FREQUENCY,9,,,,,,Frequency Under Limit,,,
,AC_OVER_VOLT,10,,,,,,AC Voltage Above Limit,,,
,AC_UNDER_VOLT,11,,,,,,AC Voltage Under Limit,,,
,BLOWN_STRING_FUSE,12,,,,,,Blown String Fuse On Input,,,
,UNDER_TEMP,13,,,,,,Under Temperature,,,
,MEMORY_LOSS,14,,,,,,Generic Memory Or Communication Error (Internal),,,
,HW_TEST_FAILURE,15,,,,,,Hardware Test Failure,,,
,MANUFACTURER_ALRM,16,,,,,,Manufacturer Alarm,,,
8,DERMode,,bitfield32,,,,,DER Operational Characteristics,552,AC Relay Status,"(0: off 1: on)
Bit 0: INV relay
Bit 1: Load relay 
Bit 2: Grid relay
Bit 3: Generator relay
Bit 8: Gen two-wire start relay 
"
,GRID_FOLLOWING,0,,,,,,Grid Following,if Bit 2 = 1,if Bit 2 = 1,
,GRID_FORMING,1,,,,,,Grid Forming,if Bit 2 = 0,if Bit 2 = 0,
