Address Offset,Group Offset,Name,Value,Count,Type,Scale Factor,Units,Mandatory (M),Static (S),Label,Sol-Ark Register ID,Sol-Ark Register Desc,Notes
,,DERMeasureDC,,,group,,,,,DER DC Measurement,,,
0,,ID,714,,uint16,,,M,S,Model ID,,,
1,,L,,,uint16,,,M,S,Model Length,,,
DC General,,,,,,,,,,,,,
2,,PrtAlrms,,,bitfield32,,,,,Port Alarms,UNIMPLEMENTED,,
4,,NPrt,,,uint16,,,,S,Number Of Ports,,6,
5,,DCA,,,int16,DCA_SF,,,,DC Current,,,
6,,DCW,,,int16,DCW_SF,,,,DC Power,,,
7,,DCWhInj,,,uint64,DCWH_SF,,,,DC Energy Injected,UNIMPLEMENTED,,
11,,DCWhAbs,,,uint64,DCWH_SF,,,,DC Energy Absorbed,UNIMPLEMENTED,,
15,,DCA_SF,,,sunssf,,,,S,DC Current Scale Factor,,,
16,,DCV_SF,,,sunssf,,,,S,DC Voltage Scale Factor,,,
17,,DCW_SF,,,sunssf,,,,S,DC Power Scale Factor,,,
18,,DCWH_SF,,,sunssf,,,,S,DC Energy Scale Factor,,,
19,,Tmp_SF,,,sunssf,,,,S,Temperature Scale Factor,,,
DC Port,,,,,,,,,,,,,
,,DERMeasureDC.Prt,,NPrt,group,,,,,,,,
,0,PrtTyp,,,enum16,,,,,Port Type,,Type = 0,
,1,ID,,,uint16,,,,,Port ID,,1,
,2,IDStr,,,string,,,,,Port ID String,,MPPT1,
,10,DCA,,,int16,DCA_SF,,,,DC Current,677,PV1 Current,
,11,DCV,,,uint16,DCV_SF,,,,DC Voltage,676,PV1 Voltage,
,12,DCW,,,int16,DCW_SF,,,,DC Power,672,PV1 Input Power,
,13,DCWhInj,,,uint64,DCWH_SF,,,,DC Energy Injected,UNIMPLEMENTED,,
,17,DCWhAbs,,,uint64,DCWH_SF,,,,DC Energy Absorbed,UNIMPLEMENTED,,
,21,Tmp,,,int16,,,,,DC Port Temperature,UNIMPLEMENTED,,
,22,DCSta,,,enum16,,,,,DC Port Status,UNIMPLEMENTED,,
,,OFF,0,,,,,,,Off,,,
,,ON,1,,,,,,,On,,,
,,WARNING,2,,,,,,,Warning,,,
,,ERROR,3,,,,,,,Error,,,
,23,DCAlrm,,,bitfield32,,,,,DC Port Alarm,UNIMPLEMENTED,,
,,GROUND_FAULT,0,,,,,,,Ground Fault,,,
,,INPUT_OVER_VOLTAGE,1,,,,,,,Input Over Voltage,,,
,,DC_DISCONNECT,3,,,,,,,DC Disconnect,,,
,,CABINET_OPEN,5,,,,,,,Cabinet Open,,,
,,MANUAL_SHUTDOWN,6,,,,,,,Manual Shutdown,,,
,,OVER_TEMP,7,,,,,,,Over Temperature,,,
,,BLOWN_FUSE,12,,,,,,,Blown Fuse,,,
,,UNDER_TEMP,13,,,,,,,Under Temperature,,,
,,MEMORY_LOSS,14,,,,,,,Memory Loss,,,
,,ARC_DETECTION,15,,,,,,,Arc Detection,,,
,,RESERVED,19,,,,,,,Reserved,,,
,,TEST_FAILED,20,,,,,,,Test Failed,,,
,,INPUT_UNDER_VOLTAGE,21,,,,,,,Under Voltage,,,
,,INPUT_OVER_CURRENT,22,,,,,,,Over Current,,,
,,DERMeasureDC.Prt,,NPrt,group,,,,,,,,
,0,PrtTyp,,,enum16,,,,,Port Type,,Type = 0,
,1,ID,,,uint16,,,,,Port ID,,2,
,2,IDStr,,,string,,,,,Port ID String,,MPPT2,
,10,DCA,,,int16,DCA_SF,,,,DC Current,679,PV2 Current,
,11,DCV,,,uint16,DCV_SF,,,,DC Voltage,678,PV2 Voltage,
,12,DCW,,,int16,DCW_SF,,,,DC Power,673,PV2 Input Power,
,13,DCWhInj,,,uint64,DCWH_SF,,,,DC Energy Injected,UNIMPLEMENTED,,
